Mic,MicName,ExchangeCode,ExchangeName
XASE,NYSE MKT LLC,ASE,NYSE American
XNYS,"NEW YORK STOCK EXCHANGE, INC.",NYS,New York Stock Exchange
XBOS,NASDAQ OMX BX,BOS,Boston Stock Exchange Inc
XCIS,"NATIONAL STOCK EXCHANGE, INC.",CIN,NYSE National Exchange
ARCX,NYSE ARCA,PSE,NYSE Arca
XPSX,NASDAQ OMX PSX,XPH,NASDAQ OMX PSX
XNIM,NASDAQ INTERMARKET,THM,NASDAQ INTERMARKET
XCHI,"NYSE CHICAGO, INC.",MID,Chicago Stock Exchange
XXXX,"NO MARKET (EG, UNLISTED)",NYQ,NYSE Consolidated
XTSE,TORONTO STOCK EXCHANGE,TOR,The Toronto Stock Exchange
EDGX,CBOE EDGX U.S. EQUITIES EXCHANGE,DEX,Cboe EDGX Exchange
CBSX,CBOE STOCK EXCHANGE,WCB,Chicago Board Options Exchange
XXXX,"NO MARKET (EG, UNLISTED)",ASQ,NYSE American Consolidated
XNMS,NASDAQ/NMS (GLOBAL MARKET),NMS,NASDAQ Stock Exchange Global Market
EDGA,CBOE EDGA U.S. EQUITIES EXCHANGE,DEA,Cboe EDGA Exchange
BATY,CBOE BYX U.S. EQUITIES EXCHANGE,BTY,Cboe BYX Exchange
XNCM,NASDAQ CAPITAL MARKET,NAS,NASDAQ Stock Exchange Capital Market
CHIX,CBOE EUROPE - CXE ORDER BOOKS,CHI,CHI - X Europe
XADF,FINRA ALTERNATIVE DISPLAY FACILITY,ADS,NASD ADF when trading NASDAQ Capital Market
XADF,FINRA ALTERNATIVE DISPLAY FACILITY,ADF,NASD ADF when trading NASDAQ Global Market
XATH,ATHENS EXCHANGE S.A. CASH MARKET,ATH,Athens Stock Exchange
XLON,LONDON STOCK EXCHANGE,LSE,London Stock Exchange
XJSE,JOHANNESBURG STOCK EXCHANGE,JNB,Johannesburg Stock Exchange
XTAE,TEL AVIV STOCK EXCHANGE,TLV,Tel Aviv Stock Exchange
XCSE,NASDAQ COPENHAGEN A/S,CPH,OMX Nordic Exchange Copenhagen A/S
XOSL,OSLO BORS ASA,OSL,Oslo Stock Exchange
XSTO,NASDAQ STOCKHOLM AB,STO,OMX Nordic Exchange Stockholm AB - cash
XLUX,LUXEMBOURG STOCK EXCHANGE,LUX,Luxembourg Stock Exchange
XBRU,EURONEXT - EURONEXT BRUSSELS,BRU,Euronext Brussels
XPAR,EURONEXT - EURONEXT PARIS,PAR,Euronext Paris
XBAR,BOLSA DE BARCELONA,BAR,The Barcelona Stock Exchange
XAMS,EURONEXT - EURONEXT AMSTERDAM,AEX,Euronext Amsterdam
WBAH,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET),VIE,Vienna Stock Exchange - Cash Market
XDUS,BOERSE DUESSELDORF,DUS,Dusseldorf Stock Exchange
XFRA,DEUTSCHE BOERSE AG,FRA,Frankfurt Stock Exchange
XHAM,HANSEATISCHE WERTPAPIERBOERSE HAMBURG,HAM,Hamburg Stock Exchange
XMUN,BOERSE MUENCHEN,MUN,Munich Stock Exchange
MTAA,ELECTRONIC SHARE MARKET,MIL,Milan Stock Exchange
